Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-04; 01:04:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 01:05:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 01:06:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 01:07:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-04; 01:08:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 01:09:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 01:10:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 01:11:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 01:12:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 01:13:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-04; 01:14:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
